1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,3,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1011,1,1,1
1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
1,0,0,0,0,1012,1,0,1,1,0,1,1,1,1,1,0,0,0,1
1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1
1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1
1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1
1,0,1,1,1,1,1,0,1,1,0,1,1,1,1014,1,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1
1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
1,0,1,0,1,1,1,0,1,1013,1,1,0,1,1,1,0,1,1,1
1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1015,1
1,2,1,1,1,1016,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
